Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Chronic Obstructive Airway Disease	C0024117	PLA2G15	23659	Q8NCC3	phospholipase A2 group XV	Enzyme	170	0.52	0.769	0.37838	0.01		1.0	1	0	2020.0	2020.0
Chronic Obstructive Airway Disease	C0024117	IL17RA	23765	Q96F46	interleukin 17 receptor A		159	0.529	0.808	0.00035636	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	ALOX15	246	P16050	arachidonate 15-lipoxygenase	Enzyme	205	0.502	0.846	1.1397e-23	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	ALPI	248	P09923	alkaline phosphatase, intestinal	Enzyme	98	0.563	0.769	2.4527e-18	0.01		1.0	1	0	2020.0	2020.0
Chronic Obstructive Airway Disease	C0024117	FSHMD1A	2489		facioscapulohumeral muscular dystrophy 1A		60	0.638	0.808		0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	ALPP	250	P05187	alkaline phosphatase, placental	Enzyme	209	0.487	0.808	1.8144e-13	0.01		1.0	1	0	2020.0	2020.0
Chronic Obstructive Airway Disease	C0024117	GAST	2520	P01350	gastrin		236	0.485	0.808	0.0027394	0.01		1.0	1	0	2013.0	2013.0
Chronic Obstructive Airway Disease	C0024117	FUT8	2530	Q9BYC5	fucosyltransferase 8		91	0.603	0.692	0.0099264	0.01		1.0	1	0	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	GAD1	2571	Q99259	glutamate decarboxylase 1	Enzyme	245	0.486	0.885	0.046164	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	SPDEF	25803	O95238	SAM pointed domain containing ETS transcription factor	Transcription factor	66	0.623	0.615	0.97178	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	GALC	2581	P54803	galactosylceramidase		99	0.604	0.615	5.2142e-15	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	TPSG1	25823	Q9NRR2	tryptase gamma 1	Enzyme	53	0.638	0.5	7.5883e-15	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	SH2B1	25970	Q9NRF2	SH2B adaptor protein 1		140	0.566	0.731	0.96861	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	INTS1	26173	Q8N201	integrator complex subunit 1		41	0.666	0.5	7.1069e-11	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	GATA4	2626	P43694	GATA binding protein 4		336	0.458	0.846	0.49308	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	GDNF	2668	P39905	glial cell derived neurotrophic factor	Signaling	409	0.434	0.885	0.2035	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	AMFR	267	Q9UKV5	autocrine motility factor receptor		71	0.599	0.692	5.8368e-05	0.01		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	GH1	2688	P01241	growth hormone 1	Signaling	686	0.373	0.923	0.030057	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	GHSR	2693	Q92847	growth hormone secretagogue receptor	G-protein coupled receptor	171	0.528	0.769	0.0065825	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CYFIP2	26999	Q96F07	cytoplasmic FMR1 interacting protein 2	Enzyme modulator	95	0.633	0.731	1.0	0.01		1.0	1	0	1996.0	1996.0
Chronic Obstructive Airway Disease	C0024117	IL37	27178	Q9NZH6	interleukin 37		280	0.459	0.846	0.00012343	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SIGLEC8	27181	Q9NYZ4	sialic acid binding Ig like lectin 8	Receptor	23	0.711	0.462	3.2193e-07	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	GLB1	2720	P16278	galactosidase beta 1	Enzyme	385	0.448	0.808	7.9215e-10	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	MAT2B	27430	Q9NZL9	methionine adenosyltransferase 2B		48	0.644	0.5	0.046226	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	GLRX	2745	P35754	glutaredoxin		65	0.619	0.577	5.6744e-07	0.01		1.0	1	0	2005.0	2005.0
Chronic Obstructive Airway Disease	C0024117	GOT2	2806	P00505	glutamic-oxaloacetic transaminase 2		148	0.529	0.731	0.014233	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	IFNL2	282616	Q8IZJ0	interferon lambda 2		38	0.666	0.615	4.9903e-08	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	IFNL3	282617	Q8IZI9	interferon lambda 3		175	0.506	0.808	2.4233e-08	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	IFNL1	282618	Q8IU54	interferon lambda 1		73	0.599	0.654	0.00028469	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	H19	283120		H19 imprinted maternally expressed transcript		242	0.494	0.923		0.01		1.0	1	0	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	ANGPT1	284	Q15389	angiopoietin 1	Signaling	340	0.446	0.808	0.95208	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	ANGPT2	285	O15123	angiopoietin 2	Signaling	457	0.41	0.846	0.83208	0.01		1.0	1	0	2013.0	2013.0
Chronic Obstructive Airway Disease	C0024117	STPG4	285051	Q8N801	sperm-tail PG-rich repeat containing 4		39	0.659	0.577	9.5142e-05	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	DLL1	28514	O00548	delta like canonical Notch ligand 1		212	0.492	0.808	0.99999	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	GPER1	2852	Q99527	G protein-coupled estrogen receptor 1	G-protein coupled receptor	180	0.505	0.731	0.57434	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	GPX1	2876	P07203	glutathione peroxidase 1	Enzyme	290	0.458	0.923	3.8518e-05	0.01		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	GPX3	2878	P22352	glutathione peroxidase 3	Enzyme	156	0.522	0.769	0.050966	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	GPX4	2879	P36969	glutathione peroxidase 4	Enzyme	201	0.516	0.808	4.7865e-05	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	GRIK2	2898	Q13002	glutamate ionotropic receptor kainate type subunit 2	Ion channel	130	0.561	0.769	0.99841	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	KLF15	28999	Q9UIH9	Kruppel like factor 15	Nucleic acid binding	80	0.592	0.654	0.48843	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SETD2	29072	Q9BYW2	SET domain containing 2, histone lysine methyltransferase	Epigenetic regulator	447	0.424	0.846	1.0	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	TBK1	29110	Q9UHD2	TANK binding kinase 1	Kinase	207	0.513	0.846	0.075174	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	MYLIP	29116	Q8WY64	myosin regulatory light chain interacting protein		79	0.582	0.692	0.18431	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	CXCL3	2921	P19876	C-X-C motif chemokine ligand 3	Signaling	47	0.65	0.692	0.00030234	0.01		1.0	1	0	2020.0	2020.0
Chronic Obstructive Airway Disease	C0024117	GSK3B	2932	P49841	glycogen synthase kinase 3 beta	Kinase	393	0.43	0.846	0.95571	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	GSN	2934	P06396	gelsolin	Cellular structure	262	0.475	0.885	3.8905e-11	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	GSS	2937	P48637	glutathione synthetase	Enzyme	73	0.626	0.731	1.7584e-06	0.01		1.0	1	0	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	GYPA	2993	P02724	glycophorin A (MNS blood group)		136	0.538	0.885	0.0010811	0.01		1.0	1	0	2010.0	2010.0
Chronic Obstructive Airway Disease	C0024117	GYPB	2994	P06028	glycophorin B (MNS blood group)		80	0.585	0.808	8.3815e-05	0.01		1.0	1	0	2010.0	2010.0
Chronic Obstructive Airway Disease	C0024117	GYPE	2996	P15421	glycophorin E (MNS blood group)		83	0.578	0.808	0.0036896	0.01		1.0	1	0	2010.0	2010.0
Chronic Obstructive Airway Disease	C0024117	RHOD	29984	O00212	ras homolog family member D	Enzyme modulator	21	0.736	0.385	0.015921	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	GZMA	3001	P12544	granzyme A	Enzyme	65	0.597	0.731	2.0457e-06	0.01		1.0	1	0	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	HAL	3034	P42357	histidine ammonia-lyase		57	0.641	0.538	2.4971e-23	0.01		0.0	1	1	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	HAS2	3037	Q92819	hyaluronan synthase 2		85	0.588	0.692	0.99013	0.01		1.0	1	0	2013.0	2013.0
Chronic Obstructive Airway Disease	C0024117	HCRT	3060	O43612	hypocretin neuropeptide precursor		237	0.5	0.808	0.028774	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	HDLBP	3069	Q00341	high density lipoprotein binding protein		58	0.636	0.731	1.0	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CFHR1	3078	Q03591	complement factor H related 1		90	0.588	0.615	2.6297e-08	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	HLA-DRB3	3125	P79483	major histocompatibility complex, class II, DR beta 3	Immune response	85	0.57	0.885		0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	HMGA1	3159	P17096	high mobility group AT-hook 1	Nucleic acid binding	206	0.494	0.769	0.83209	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	NR4A1	3164	P22736	nuclear receptor subfamily 4 group A member 1	Nuclear receptor	216	0.49	0.731	0.37074	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	FOXA2	3170	Q9Y261	forkhead box A2	Transcription factor	143	0.528	0.769	0.74225	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	CELIAC2	317782		celiac disease 2		40	0.653	0.577		0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	HNRNPD	3184	Q14103	heterogeneous nuclear ribonucleoprotein D		60	0.621	0.654	0.99621	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	APEX1	328	P27695	apurinic/apyrimidinic endodeoxyribonuclease 1		305	0.458	0.846	1.9191e-07	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	HSD11B1	3290	P28845	hydroxysteroid 11-beta dehydrogenase 1		163	0.52	0.731	0.41696	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	HSPA2	3306	P54652	heat shock protein family A (Hsp70) member 2		115	0.55	0.808	0.048648	0.01		1.0	1	0	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	HSPB1	3315	P04792	heat shock protein family B (small) member 1		395	0.436	0.808	2.7797e-07	0.01		1.0	1	0	2020.0	2020.0
Chronic Obstructive Airway Disease	C0024117	HSPB2	3316	Q16082	heat shock protein family B (small) member 2		290	0.457	0.769	0.00032989	0.01		1.0	1	0	2020.0	2020.0
Chronic Obstructive Airway Disease	C0024117	APOA1	335	P02647	apolipoprotein A1		416	0.429	0.885	0.00054909	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	HTR2B	3357	P41595	5-hydroxytryptamine receptor 2B	G-protein coupled receptor	61	0.647	0.538	2.6913e-10	0.01		1.0	1	0	2020.0	2020.0
Chronic Obstructive Airway Disease	C0024117	HYAL1	3373	Q12794	hyaluronidase 1	Enzyme	58	0.633	0.577	0.00019112	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	IAPP	3375	P10997	islet amyloid polypeptide	Signaling	183	0.507	0.808	0.0031814	0.01		1.0	1	0	2020.0	2020.0
Chronic Obstructive Airway Disease	C0024117	GADL1	339896	Q6ZQY3	glutamate decarboxylase like 1		192	0.497	0.808	1.3724e-21	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	IDS	3423	P22304	iduronate 2-sulfatase		136	0.559	0.769	0.94725	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	IFIT1	3434	P09914	interferon induced protein with tetratricopeptide repeats 1		39	0.666	0.5	0.00027793	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	IGF1	3479	P05019	insulin like growth factor 1		1206	0.318	0.885	0.2716	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	IGFBP3	3486	P17936	insulin like growth factor binding protein 3	Enzyme modulator	350	0.439	0.808	0.91029	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CFAP100	348807	Q494V2	cilia and flagella associated protein 100		6	0.861	0.077	4.6757e-18	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	IGFBP7	3490	Q16270	insulin like growth factor binding protein 7		241	0.476	0.769	0.0012873	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	CCN1	3491	O00622	cellular communication network factor 1	Signaling	246	0.473	0.731	0.71388	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	IGHE	3497	P01854	immunoglobulin heavy constant epsilon		55	0.626	0.538		0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	APP	351	P05067	amyloid beta precursor protein	Enzyme modulator	485	0.422	0.846	0.046544	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	IL1RAP	3556	Q9NPH3	interleukin 1 receptor accessory protein	Receptor	49	0.647	0.654	0.25846	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	IL2RA	3559	P01589	interleukin 2 receptor subunit alpha	Receptor	540	0.389	0.885	0.054709	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	IL6R	3570	P08887	interleukin 6 receptor	Signaling	261	0.471	0.846	3.1681e-05	0.01		1.0	1	1	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	IL7	3574	P13232	interleukin 7		275	0.464	0.808	0.92574	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CXCR1	3577	P25024	C-X-C motif chemokine receptor 1	G-protein coupled receptor	167	0.508	0.769	3.0337e-07	0.01		1.0	1	0	2003.0	2003.0
Chronic Obstructive Airway Disease	C0024117	IL9	3578	P15248	interleukin 9		291	0.461	0.846	8.1087e-07	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	IL10RA	3587	Q13651	interleukin 10 receptor subunit alpha	Receptor	90	0.579	0.692	0.017808	0.01		1.0	1	0	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	IL12A	3592	P29459	interleukin 12A		261	0.491	0.808	0.04746	0.01		1.0	1	1	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	IL13RA1	3597	P78552	interleukin 13 receptor subunit alpha 1	Signaling	39	0.659	0.577	0.96333	0.01		1.0	1	1	2010.0	2010.0
Chronic Obstructive Airway Disease	C0024117	IL15	3600	P40933	interleukin 15		426	0.422	0.846	0.70859	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	IL15RA	3601	Q13261	interleukin 15 receptor subunit alpha		72	0.603	0.769	2.332e-06	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	IL16	3603	Q14005	interleukin 16	Signaling	193	0.501	0.846	1.2449e-10	0.01		1.0	1	0	2013.0	2013.0
Chronic Obstructive Airway Disease	C0024117	TNFRSF9	3604	Q07011	TNF receptor superfamily member 9		177	0.502	0.769	0.32153	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	AQP4	361	P55087	aquaporin 4	Ion channel	311	0.456	0.885	0.0022919	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	IRF7	3665	Q92985	interferon regulatory factor 7	Transcription factor	121	0.547	0.846	4.4508e-15	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ISG20	3669	Q96AZ6	interferon stimulated exonuclease gene 20		414	0.414	0.846	0.002899	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ITGA2B	3674	P08514	integrin subunit alpha 2b		215	0.493	0.692	1.5205e-16	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	ITGAV	3685	P06756	integrin subunit alpha V		141	0.526	0.769	0.00022844	0.01		1.0	1	0	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	ITGB3	3690	P05106	integrin subunit beta 3	Receptor	260	0.485	0.846	0.0017189	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	ITGB5	3693	P18084	integrin subunit beta 5	Receptor	43	0.656	0.577	9.8905e-08	0.01		0.0	1	0	2009.0	2009.0
Chronic Obstructive Airway Disease	C0024117	JAK1	3716	P23458	Janus kinase 1	Kinase	239	0.474	0.769	0.99998	0.01		1.0	1	1	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	JUN	3725	P05412	Jun proto-oncogene, AP-1 transcription factor subunit	Transcription factor	344	0.442	0.885	0.05962	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	JUNB	3726	P17275	JunB proto-oncogene, AP-1 transcription factor subunit	Transcription factor	264	0.467	0.769	0.86299	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	JUND	3727	P17535	JunD proto-oncogene, AP-1 transcription factor subunit	Transcription factor	242	0.475	0.808	0.70054	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	AREG	374	P15514	amphiregulin	Signaling	221	0.487	0.769	0.35407	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	KCNJ2	3759	P63252	potassium inwardly rectifying channel subfamily J member 2	Ion channel	117	0.572	0.731	0.30653	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	KCNK3	3777	O14649	potassium two pore domain channel subfamily K member 3	Ion channel	93	0.584	0.654	0.90018	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	KIT	3815	P10721	KIT proto-oncogene, receptor tyrosine kinase	Kinase	715	0.366	0.808	0.98087	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	KLK1	3816	P06870	kallikrein 1	Enzyme	132	0.533	0.769	0.00015311	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	KLKB1	3818	P03952	kallikrein B1	Enzyme	88	0.604	0.692	6.2893e-13	0.01		1.0	1	1	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	KRT5	3852	P13647	keratin 5		203	0.512	0.731	0.64172	0.01		1.0	1	0	2013.0	2013.0
Chronic Obstructive Airway Disease	C0024117	KRT7	3855	P08729	keratin 7		287	0.463	0.808	3.0861e-12	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	RHOA	387	P61586	ras homolog family member A	Enzyme modulator	193	0.502	0.808	0.60405	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	SNHG5	387066		small nucleolar RNA host gene 5		36	0.67	0.462		0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	KRT18	3875	P05783	keratin 18		151	0.53	0.692	0.73477	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	KRT19	3880	P08727	keratin 19		270	0.46	0.731	0.0043426	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	KRT34	3885	O76011	keratin 34		2	0.931	0.077	5.9309e-08	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SNHG17	388796		small nucleolar RNA host gene 17		13	0.78	0.231		0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	PLEKHM3	389072	Q6ZWE6	pleckstrin homology domain containing M3		8	0.861	0.231	0.00010037	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	LAMP1	3916	P11279	lysosomal associated membrane protein 1	Transporter	120	0.542	0.769	0.8747	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	LBP	3929	P18428	lipopolysaccharide binding protein		156	0.525	0.808	4.1897e-15	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	LEPR	3953	P48357	leptin receptor	Signaling	416	0.433	0.808	0.99475	0.01		1.0	1	0	2009.0	2009.0
Chronic Obstructive Airway Disease	C0024117	LGALS9	3965	O00182	galectin 9	Signaling	197	0.496	0.769	6.548e-06	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	LIF	3976	P15018	LIF interleukin 6 family cytokine	Signaling	236	0.483	0.769	0.5242	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	LMNB1	4001	P20700	lamin B1		128	0.564	0.731	0.55481	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	LOX	4015	P28300	lysyl oxidase		328	0.447	0.846	0.98769	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	LRP5	4041	O75197	LDL receptor related protein 5		283	0.485	0.846	0.50992	0.01		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	LTA	4049	P01374	lymphotoxin alpha	Signaling	353	0.434	0.885	0.19685	0.01		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	LTC4S	4056	Q16873	leukotriene C4 synthase	Enzyme	50	0.647	0.731	0.00084628	0.01		1.0	1	0	2009.0	2009.0
Chronic Obstructive Airway Disease	C0024117	MIRLET7C	406885		microRNA let-7c		154	0.514	0.808		0.01		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	MIR106A	406899		microRNA 106a		140	0.524	0.846		0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	MIR10A	406902		microRNA 10a		158	0.513	0.846		0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MIR122	406906		microRNA 122		250	0.468	0.808		0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	MIR134	406924		microRNA 134		126	0.542	0.769		0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	MIR141	406933		microRNA 141		179	0.497	0.808		0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	MIR149	406941		microRNA 149		140	0.524	0.769		0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	MIR15A	406948		microRNA 15a		221	0.482	0.808		0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	MIR15B	406949		microRNA 15b		134	0.532	0.769		0.01		1.0	1	0	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	MIR181A2	406954		microRNA 181a-2		85	0.57	0.654		0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MIR181C	406957		microRNA 181c		103	0.555	0.769		0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	MIR186	406962		microRNA 186		105	0.551	0.808		0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MIR190A	406965		microRNA 190a		44	0.65	0.423		0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MIR192	406967		microRNA 192		173	0.503	0.846		0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	MIR195	406971		microRNA 195		180	0.496	0.769		0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	MIR197	406974		microRNA 197		93	0.565	0.615		0.01		1.0	1	0	2018.0	2018.0
